elapsed (s);x-axis (g);y-axis (g);z-axis (g)
145.100;-0.086;-1.011;0.279
145.110;-0.089;-1.014;0.282
145.120;-0.095;-1.014;0.285
145.130;-0.096;-1.011;0.285
145.140;-0.095;-1.009;0.285
145.150;-0.092;-1.009;0.281
145.160;-0.092;-1.008;0.283
145.170;-0.086;-1.006;0.287
145.180;-0.082;-1.008;0.286
145.190;-0.085;-1.012;0.282
145.200;-0.086;-1.013;0.281
145.210;-0.085;-1.012;0.284
145.220;-0.081;-1.016;0.284
145.230;-0.085;-1.017;0.284
145.240;-0.092;-1.014;0.283
145.250;-0.092;-1.011;0.284
145.260;-0.086;-1.011;0.283
145.270;-0.088;-1.011;0.278
145.280;-0.089;-1.009;0.273
145.290;-0.088;-1.004;0.277
145.300;-0.078;-1.006;0.285
145.310;-0.076;-1.010;0.285
145.320;-0.077;-1.014;0.282
145.330;-0.082;-1.012;0.279
145.340;-0.082;-1.008;0.280
145.350;-0.078;-1.012;0.284
145.360;-0.079;-1.014;0.281
145.370;-0.087;-1.014;0.279
145.380;-0.088;-1.011;0.279
145.390;-0.081;-1.007;0.280
145.400;-0.081;-1.010;0.275
145.410;-0.080;-1.012;0.275
145.420;-0.081;-1.015;0.279
145.430;-0.082;-1.016;0.282
145.440;-0.080;-1.012;0.286
145.450;-0.075;-1.009;0.287
145.460;-0.073;-1.004;0.287
145.470;-0.079;-1.004;0.283
145.480;-0.083;-1.002;0.278
145.490;-0.088;-1.005;0.283
145.500;-0.080;-1.010;0.289
145.510;-0.075;-1.010;0.292
145.520;-0.078;-1.012;0.291
145.530;-0.078;-1.015;0.288
145.540;-0.080;-1.016;0.287
145.550;-0.083;-1.017;0.283
145.560;-0.086;-1.016;0.283
145.570;-0.088;-1.015;0.283
145.580;-0.085;-1.013;0.282
145.590;-0.084;-1.012;0.284
145.600;-0.084;-1.014;0.287
145.610;-0.081;-1.014;0.285
145.620;-0.080;-1.010;0.283
145.630;-0.079;-1.007;0.282
145.640;-0.081;-1.010;0.284
145.650;-0.082;-1.014;0.286
145.660;-0.084;-1.012;0.287
145.670;-0.087;-1.005;0.284
145.680;-0.088;-1.006;0.282
145.690;-0.089;-1.007;0.284
145.700;-0.088;-1.009;0.282
145.710;-0.090;-1.012;0.281
145.720;-0.092;-1.013;0.282
145.730;-0.089;-1.016;0.286
145.740;-0.084;-1.017;0.287
145.750;-0.083;-1.013;0.288
145.760;-0.085;-1.011;0.288
145.770;-0.083;-1.011;0.284
145.780;-0.084;-1.010;0.284
145.790;-0.083;-1.008;0.284
145.800;-0.083;-1.012;0.287
145.810;-0.082;-1.009;0.286
145.820;-0.085;-1.011;0.281
145.830;-0.088;-1.014;0.279
145.840;-0.084;-1.015;0.283
145.850;-0.083;-1.015;0.283
145.860;-0.087;-1.009;0.279
145.870;-0.085;-1.005;0.275
145.880;-0.084;-1.005;0.280
145.890;-0.082;-1.006;0.278
145.900;-0.079;-1.011;0.278
145.910;-0.081;-1.013;0.278
145.920;-0.082;-1.011;0.281
145.930;-0.082;-1.010;0.277
145.940;-0.081;-1.014;0.276
145.950;-0.080;-1.015;0.279
145.960;-0.082;-1.016;0.278
145.970;-0.083;-1.011;0.278
145.980;-0.080;-1.011;0.281
145.990;-0.079;-1.011;0.279
146.000;-0.084;-1.012;0.277
146.010;-0.085;-1.017;0.281
146.020;-0.084;-1.012;0.284
146.030;-0.085;-1.004;0.284
146.040;-0.086;-1.002;0.282
146.050;-0.085;-1.006;0.282
146.060;-0.087;-1.008;0.283
146.070;-0.091;-1.013;0.284
146.080;-0.090;-1.015;0.285
146.090;-0.088;-1.014;0.284
146.100;-0.088;-1.013;0.282
146.110;-0.083;-1.014;0.287
146.120;-0.083;-1.016;0.288
146.130;-0.085;-1.016;0.286
146.140;-0.090;-1.016;0.280
146.150;-0.093;-1.015;0.281
146.160;-0.094;-1.016;0.282
146.170;-0.090;-1.018;0.279
146.180;-0.077;-1.018;0.280
146.190;-0.072;-1.013;0.292
146.200;-0.088;-1.003;0.285
146.210;-0.103;-1.007;0.279
146.220;-0.104;-1.016;0.278
146.230;-0.094;-1.017;0.281
146.240;-0.084;-1.014;0.281
146.250;-0.083;-1.014;0.284
146.260;-0.086;-1.011;0.287
146.270;-0.088;-1.009;0.283
146.280;-0.094;-1.013;0.278
146.290;-0.103;-1.014;0.275
146.300;-0.099;-1.013;0.274
146.310;-0.088;-1.014;0.283
146.320;-0.080;-1.015;0.285
146.330;-0.078;-1.017;0.282
146.340;-0.081;-1.018;0.279
146.350;-0.083;-1.013;0.278
146.360;-0.078;-1.010;0.284
146.370;-0.084;-1.008;0.277
146.380;-0.091;-1.009;0.277
146.390;-0.088;-1.012;0.280
146.400;-0.084;-1.014;0.283
146.410;-0.087;-1.010;0.280
146.420;-0.084;-1.010;0.279
146.430;-0.074;-1.012;0.283
146.440;-0.080;-1.015;0.292
146.450;-0.083;-1.010;0.286
146.460;-0.086;-1.007;0.283
146.470;-0.082;-1.006;0.284
146.480;-0.080;-1.012;0.286
146.490;-0.083;-1.014;0.286
146.500;-0.085;-1.013;0.287
146.510;-0.084;-1.016;0.284
146.520;-0.083;-1.011;0.283
146.530;-0.083;-1.016;0.278
146.540;-0.088;-1.013;0.275
146.550;-0.086;-1.014;0.280
146.560;-0.084;-1.012;0.281
146.570;-0.087;-1.010;0.278
146.580;-0.089;-1.015;0.268
146.590;-0.086;-1.020;0.273
146.600;-0.081;-1.022;0.274
146.610;-0.082;-1.015;0.280
146.620;-0.080;-1.001;0.276
146.630;-0.081;-0.992;0.275
146.640;-0.081;-0.998;0.275
146.650;-0.081;-1.004;0.271
146.660;-0.091;-1.011;0.267
146.670;-0.097;-1.009;0.269
146.680;-0.090;-1.018;0.277
146.690;-0.085;-1.021;0.281
146.700;-0.084;-1.026;0.277
146.710;-0.090;-1.025;0.274
146.720;-0.089;-1.018;0.277
146.730;-0.085;-1.012;0.279
146.740;-0.086;-1.012;0.277
146.750;-0.092;-1.014;0.271
146.760;-0.093;-1.012;0.272
146.770;-0.088;-1.013;0.280
146.780;-0.083;-1.016;0.280
146.790;-0.085;-1.018;0.279
146.800;-0.089;-1.013;0.273
146.810;-0.092;-1.010;0.273
146.820;-0.090;-1.008;0.279
146.830;-0.087;-1.012;0.283
146.840;-0.089;-1.014;0.285
146.850;-0.098;-1.010;0.280
146.860;-0.098;-1.005;0.276
146.870;-0.094;-1.009;0.277
146.880;-0.092;-1.015;0.277
146.890;-0.095;-1.018;0.274
146.900;-0.096;-1.015;0.279
146.910;-0.089;-1.016;0.286
146.920;-0.086;-1.018;0.289
146.930;-0.086;-1.019;0.288
146.940;-0.089;-1.014;0.281
146.950;-0.089;-1.007;0.280
146.960;-0.087;-1.005;0.285
146.970;-0.087;-1.007;0.288
146.980;-0.089;-1.014;0.282
146.990;-0.093;-1.015;0.284
147.000;-0.089;-1.014;0.282
147.010;-0.087;-1.015;0.280
147.020;-0.089;-1.017;0.277
147.030;-0.087;-1.017;0.274
147.040;-0.086;-1.011;0.276
147.050;-0.086;-1.012;0.272
147.060;-0.078;-1.016;0.277
147.070;-0.074;-1.018;0.282
147.080;-0.076;-1.014;0.282
147.090;-0.081;-1.010;0.282
147.100;-0.086;-1.010;0.276
147.110;-0.082;-1.010;0.279
147.120;-0.078;-1.011;0.280
147.130;-0.081;-1.012;0.276
147.140;-0.087;-1.012;0.275
147.150;-0.086;-1.015;0.278
147.160;-0.084;-1.015;0.277
147.170;-0.083;-1.021;0.275
147.180;-0.083;-1.026;0.274
147.190;-0.083;-1.024;0.279
147.200;-0.082;-1.020;0.283
147.210;-0.078;-1.006;0.280
147.220;-0.080;-0.995;0.278
147.230;-0.083;-0.995;0.277
147.240;-0.085;-1.002;0.280
147.250;-0.090;-1.008;0.275
147.260;-0.091;-1.012;0.276
147.270;-0.087;-1.016;0.280
147.280;-0.083;-1.018;0.280
147.290;-0.082;-1.022;0.281
147.300;-0.081;-1.022;0.277
147.310;-0.082;-1.023;0.276
147.320;-0.086;-1.014;0.274
147.330;-0.087;-1.012;0.277
147.340;-0.083;-1.015;0.277
147.350;-0.085;-1.017;0.278
147.360;-0.096;-1.017;0.278
147.370;-0.100;-1.012;0.277
147.380;-0.097;-1.011;0.275
147.390;-0.092;-1.009;0.272
147.400;-0.089;-1.008;0.275
147.410;-0.089;-1.014;0.274
147.420;-0.089;-1.017;0.277
147.430;-0.088;-1.015;0.278
147.440;-0.084;-1.013;0.276
147.450;-0.083;-1.013;0.277
147.460;-0.090;-1.010;0.271
147.470;-0.096;-1.010;0.268
147.480;-0.100;-1.010;0.274
147.490;-0.094;-1.015;0.277
147.500;-0.091;-1.018;0.276
147.510;-0.088;-1.018;0.279
147.520;-0.092;-1.017;0.280
147.530;-0.092;-1.011;0.279
147.540;-0.092;-1.010;0.278
147.550;-0.098;-1.009;0.277
147.560;-0.102;-1.007;0.274
147.570;-0.099;-1.008;0.278
147.580;-0.094;-1.012;0.279
147.590;-0.089;-1.018;0.276
147.600;-0.085;-1.020;0.277
147.610;-0.089;-1.018;0.276
147.620;-0.086;-1.014;0.276
147.630;-0.083;-1.014;0.278
147.640;-0.078;-1.015;0.276
147.650;-0.073;-1.017;0.277
147.660;-0.077;-1.015;0.276
147.670;-0.079;-1.012;0.278
147.680;-0.081;-1.012;0.277
147.690;-0.083;-1.012;0.274
147.700;-0.085;-1.012;0.272
147.710;-0.088;-1.012;0.274
147.720;-0.093;-1.008;0.271
147.730;-0.092;-1.011;0.274
147.740;-0.087;-1.018;0.276
147.750;-0.088;-1.016;0.275
147.760;-0.088;-1.013;0.272
147.770;-0.084;-1.014;0.271
147.780;-0.079;-1.014;0.272
147.790;-0.078;-1.017;0.273
147.800;-0.086;-1.014;0.277
147.810;-0.084;-1.008;0.275
147.820;-0.080;-1.008;0.275
147.830;-0.083;-1.008;0.279
147.840;-0.084;-1.011;0.280
147.850;-0.088;-1.014;0.277
147.860;-0.087;-1.012;0.275
147.870;-0.085;-1.011;0.279
147.880;-0.087;-1.010;0.278
147.890;-0.085;-1.010;0.278
147.900;-0.085;-1.009;0.277
147.910;-0.086;-1.011;0.275
147.920;-0.084;-1.015;0.278
147.930;-0.089;-1.019;0.278
147.940;-0.091;-1.017;0.281
147.950;-0.091;-1.020;0.280
147.960;-0.087;-1.019;0.277
147.970;-0.088;-1.016;0.277
147.980;-0.086;-1.010;0.279
147.990;-0.076;-1.005;0.278
148.000;-0.074;-1.010;0.280
148.010;-0.072;-1.017;0.281
148.020;-0.076;-1.019;0.287
148.030;-0.081;-1.013;0.283
148.040;-0.087;-1.004;0.278
148.050;-0.090;-1.006;0.282
148.060;-0.088;-1.011;0.287
148.070;-0.090;-1.012;0.284
148.080;-0.094;-1.013;0.279
148.090;-0.090;-1.013;0.287
148.100;-0.081;-1.012;0.292
148.110;-0.077;-1.012;0.290
148.120;-0.078;-1.014;0.288
148.130;-0.085;-1.013;0.283
148.140;-0.080;-1.012;0.284
148.150;-0.076;-1.016;0.288
148.160;-0.074;-1.017;0.290
148.170;-0.078;-1.015;0.286
148.180;-0.085;-1.010;0.284
148.190;-0.082;-1.008;0.284
148.200;-0.080;-1.011;0.284
148.210;-0.086;-1.010;0.282
148.220;-0.093;-1.009;0.277
148.230;-0.088;-1.009;0.281
148.240;-0.081;-1.011;0.284
148.250;-0.081;-1.012;0.278
148.260;-0.083;-1.011;0.273
148.270;-0.082;-1.009;0.277
148.280;-0.075;-1.011;0.281
148.290;-0.076;-1.008;0.280
148.300;-0.080;-1.011;0.271
148.310;-0.089;-1.011;0.269
148.320;-0.084;-1.012;0.274
148.330;-0.083;-1.014;0.278
148.340;-0.084;-1.012;0.275
148.350;-0.089;-1.013;0.271
148.360;-0.091;-1.012;0.270
148.370;-0.088;-1.012;0.271
148.380;-0.083;-1.015;0.274
148.390;-0.082;-1.011;0.276
148.400;-0.084;-1.010;0.279
148.410;-0.084;-1.004;0.282
148.420;-0.084;-1.000;0.284
148.430;-0.089;-1.002;0.283
148.440;-0.092;-1.008;0.279
148.450;-0.099;-1.012;0.275
148.460;-0.101;-1.012;0.278
148.470;-0.095;-1.016;0.283
148.480;-0.089;-1.014;0.286
148.490;-0.087;-1.015;0.289
148.500;-0.084;-1.019;0.288
148.510;-0.085;-1.019;0.284
148.520;-0.083;-1.018;0.287
148.530;-0.080;-1.012;0.286
148.540;-0.084;-1.012;0.285
148.550;-0.084;-1.015;0.286
148.560;-0.085;-1.016;0.286
148.570;-0.091;-1.015;0.286
148.580;-0.093;-1.010;0.288
148.590;-0.090;-1.010;0.292
148.600;-0.086;-1.013;0.294
148.610;-0.088;-1.016;0.291
148.620;-0.091;-1.015;0.289
148.630;-0.091;-1.009;0.289
148.640;-0.089;-1.004;0.286
148.650;-0.089;-1.002;0.285
148.660;-0.093;-1.008;0.285
148.670;-0.093;-1.014;0.286
148.680;-0.087;-1.018;0.285
148.690;-0.086;-1.016;0.282
148.700;-0.082;-1.016;0.286
148.710;-0.081;-1.014;0.290
148.720;-0.079;-1.010;0.290
148.730;-0.080;-1.011;0.285
148.740;-0.090;-1.009;0.279
148.750;-0.089;-1.005;0.279
148.760;-0.080;-1.006;0.285
148.770;-0.082;-1.007;0.285
148.780;-0.084;-1.010;0.280
148.790;-0.087;-1.014;0.272
148.800;-0.084;-1.011;0.275
148.810;-0.079;-1.015;0.284
148.820;-0.079;-1.014;0.288
148.830;-0.084;-1.017;0.286
148.840;-0.086;-1.009;0.282
148.850;-0.080;-1.002;0.282
148.860;-0.073;-1.004;0.282
148.870;-0.070;-1.008;0.284
148.880;-0.076;-1.012;0.280
148.890;-0.089;-1.008;0.273
148.900;-0.093;-1.004;0.272
148.910;-0.083;-1.011;0.283
148.920;-0.082;-1.014;0.290
148.930;-0.087;-1.014;0.289
148.940;-0.094;-1.012;0.280
148.950;-0.093;-1.005;0.278
148.960;-0.083;-1.005;0.280
148.970;-0.077;-1.013;0.280
148.980;-0.082;-1.017;0.280
148.990;-0.080;-1.016;0.291
149.000;-0.077;-1.009;0.296
149.010;-0.077;-1.004;0.292
149.020;-0.091;-1.009;0.286
149.030;-0.102;-1.008;0.280
149.040;-0.098;-1.005;0.284
149.050;-0.089;-1.009;0.288
149.060;-0.088;-1.011;0.294
149.070;-0.083;-1.013;0.290
149.080;-0.080;-1.017;0.291
149.090;-0.079;-1.014;0.290
149.100;-0.079;-1.014;0.293
149.110;-0.088;-1.015;0.288
149.120;-0.099;-1.018;0.283
149.130;-0.103;-1.015;0.282
149.140;-0.096;-1.013;0.286
149.150;-0.090;-1.016;0.289
149.160;-0.089;-1.016;0.288
149.170;-0.096;-1.014;0.281
149.180;-0.095;-1.006;0.277
149.190;-0.084;-1.008;0.284
149.200;-0.076;-1.015;0.288
149.210;-0.083;-1.018;0.285
149.220;-0.093;-1.013;0.279
149.230;-0.096;-1.008;0.283
149.240;-0.089;-1.005;0.285
149.250;-0.089;-1.007;0.279
149.260;-0.099;-1.010;0.279
149.270;-0.100;-1.012;0.279
149.280;-0.094;-1.007;0.282
149.290;-0.088;-1.012;0.284
149.300;-0.088;-1.016;0.281
149.310;-0.092;-1.013;0.275
149.320;-0.087;-1.012;0.284
149.330;-0.083;-1.012;0.289
149.340;-0.091;-1.013;0.285
149.350;-0.096;-1.012;0.281
149.360;-0.093;-1.009;0.282
149.370;-0.087;-1.005;0.283
149.380;-0.081;-1.010;0.283
149.390;-0.086;-1.010;0.279
149.400;-0.093;-1.008;0.276
149.410;-0.091;-1.011;0.285
149.420;-0.088;-1.015;0.291
149.430;-0.090;-1.020;0.286
149.440;-0.090;-1.019;0.284
149.450;-0.085;-1.013;0.288
149.460;-0.081;-1.012;0.292
149.470;-0.081;-1.011;0.285
149.480;-0.089;-1.008;0.283
149.490;-0.087;-1.007;0.286
149.500;-0.082;-1.011;0.291
149.510;-0.084;-1.012;0.292
149.520;-0.090;-1.013;0.290
149.530;-0.091;-1.013;0.290
149.540;-0.089;-1.006;0.291
149.550;-0.088;-1.009;0.287
149.560;-0.088;-1.016;0.285
149.570;-0.083;-1.022;0.290
149.580;-0.085;-1.018;0.290
149.590;-0.083;-1.009;0.289
149.600;-0.082;-1.006;0.290
149.610;-0.086;-1.005;0.287
149.620;-0.094;-1.007;0.282
149.630;-0.098;-1.006;0.283
149.640;-0.095;-1.005;0.279
149.650;-0.086;-1.007;0.283
149.660;-0.078;-1.007;0.286
149.670;-0.075;-1.010;0.283
149.680;-0.077;-1.016;0.284
149.690;-0.085;-1.015;0.281
149.700;-0.090;-1.011;0.280
149.710;-0.088;-1.014;0.282
149.720;-0.091;-1.013;0.282
149.730;-0.094;-1.012;0.279
149.740;-0.095;-1.010;0.276
149.750;-0.093;-1.009;0.276
149.760;-0.089;-1.009;0.286
149.770;-0.088;-1.002;0.282
149.780;-0.087;-1.003;0.278
149.790;-0.086;-1.010;0.283
149.800;-0.087;-1.013;0.290
149.810;-0.086;-1.016;0.288
149.820;-0.091;-1.011;0.282
149.830;-0.094;-1.004;0.282
149.840;-0.085;-1.005;0.285
149.850;-0.083;-1.010;0.288
149.860;-0.088;-1.010;0.281
149.870;-0.092;-1.013;0.285
149.880;-0.091;-1.016;0.289
149.890;-0.085;-1.013;0.289
149.900;-0.087;-1.014;0.286
149.910;-0.088;-1.015;0.285
149.920;-0.090;-1.013;0.289
149.930;-0.087;-1.010;0.290
149.940;-0.088;-1.012;0.284
149.950;-0.093;-1.008;0.282
149.960;-0.091;-1.009;0.288
149.970;-0.089;-1.012;0.286
149.980;-0.092;-1.013;0.283
149.990;-0.095;-1.014;0.284
150.000;-0.088;-1.012;0.283
150.010;-0.082;-1.007;0.285
150.020;-0.086;-1.008;0.280
150.030;-0.090;-1.008;0.279
150.040;-0.086;-1.012;0.286
150.050;-0.085;-1.012;0.289
150.060;-0.090;-1.011;0.282
150.070;-0.098;-1.008;0.274
150.080;-0.095;-1.007;0.276
150.090;-0.086;-1.011;0.282
150.100;-0.086;-1.007;0.281
150.110;-0.092;-1.008;0.276
150.120;-0.094;-1.005;0.276
150.130;-0.089;-1.005;0.282
150.140;-0.081;-1.006;0.274
150.150;-0.083;-1.015;0.272
150.160;-0.092;-1.020;0.278
150.170;-0.088;-1.019;0.282
150.180;-0.081;-1.012;0.280
150.190;-0.083;-1.005;0.283
150.200;-0.085;-1.000;0.282
150.210;-0.086;-0.999;0.277
150.220;-0.092;-1.002;0.274
150.230;-0.094;-1.005;0.274
150.240;-0.085;-1.010;0.275
150.250;-0.081;-1.020;0.279
150.260;-0.080;-1.024;0.279
150.270;-0.083;-1.022;0.277
150.280;-0.085;-1.016;0.274
150.290;-0.085;-1.012;0.272
150.300;-0.085;-1.016;0.270
150.310;-0.091;-1.016;0.273
150.320;-0.091;-1.019;0.279
150.330;-0.092;-1.020;0.280
150.340;-0.092;-1.021;0.282
150.350;-0.093;-1.017;0.281
150.360;-0.094;-1.011;0.278
150.370;-0.090;-1.007;0.281
150.380;-0.085;-1.008;0.286
150.390;-0.083;-1.011;0.288
150.400;-0.089;-1.011;0.288
150.410;-0.093;-1.005;0.286
150.420;-0.094;-1.002;0.287
150.430;-0.097;-1.000;0.285
150.440;-0.097;-1.009;0.285
150.450;-0.094;-1.013;0.288
150.460;-0.092;-1.014;0.287
150.470;-0.095;-1.015;0.286
150.480;-0.094;-1.016;0.290
150.490;-0.085;-1.017;0.293
150.500;-0.081;-1.016;0.291
150.510;-0.088;-1.015;0.287
150.520;-0.084;-1.014;0.286
150.530;-0.082;-1.012;0.290
150.540;-0.083;-1.013;0.289
150.550;-0.084;-1.017;0.283
150.560;-0.087;-1.014;0.281
150.570;-0.088;-1.013;0.284
150.580;-0.089;-1.011;0.279
150.590;-0.086;-1.012;0.278
150.600;-0.085;-1.013;0.275
150.610;-0.085;-1.012;0.270
150.620;-0.082;-1.012;0.274
150.630;-0.073;-1.017;0.281
150.640;-0.076;-1.018;0.282
150.650;-0.080;-1.014;0.277
150.660;-0.084;-1.011;0.273
150.670;-0.086;-1.008;0.274
150.680;-0.083;-1.010;0.276
150.690;-0.084;-1.014;0.276
150.700;-0.090;-1.014;0.273
150.710;-0.093;-1.009;0.271
150.720;-0.085;-1.007;0.275
150.730;-0.084;-1.008;0.278
150.740;-0.087;-1.017;0.280
150.750;-0.093;-1.020;0.269
150.760;-0.095;-1.012;0.268
150.770;-0.089;-1.003;0.276
150.780;-0.082;-1.000;0.276
150.790;-0.083;-1.004;0.272
150.800;-0.094;-1.011;0.266
150.810;-0.099;-1.014;0.265
150.820;-0.092;-1.010;0.271
150.830;-0.084;-1.010;0.275
150.840;-0.085;-1.014;0.275
150.850;-0.090;-1.017;0.276
150.860;-0.088;-1.019;0.273
150.870;-0.089;-1.020;0.271
150.880;-0.093;-1.019;0.271
150.890;-0.100;-1.018;0.273
150.900;-0.102;-1.019;0.273
150.910;-0.105;-1.015;0.276
150.920;-0.102;-1.014;0.273
150.930;-0.097;-1.015;0.273
150.940;-0.089;-1.011;0.280
150.950;-0.083;-1.007;0.279
150.960;-0.086;-1.008;0.277
150.970;-0.089;-1.015;0.281
150.980;-0.092;-1.020;0.279
150.990;-0.095;-1.018;0.278
151.000;-0.096;-1.014;0.281
151.010;-0.098;-1.016;0.281
151.020;-0.095;-1.014;0.278
151.030;-0.096;-1.016;0.277
151.040;-0.097;-1.015;0.279
151.050;-0.097;-1.014;0.281
151.060;-0.095;-1.011;0.277
151.070;-0.095;-1.010;0.277
151.080;-0.091;-1.012;0.281
151.090;-0.085;-1.016;0.285
151.100;-0.078;-1.015;0.287
151.110;-0.076;-1.015;0.287
151.120;-0.074;-1.013;0.279
151.130;-0.072;-1.010;0.282
151.140;-0.077;-1.015;0.282
151.150;-0.083;-1.014;0.275
151.160;-0.088;-1.015;0.277
151.170;-0.089;-1.017;0.279
151.180;-0.081;-1.017;0.281
151.190;-0.077;-1.018;0.281
151.200;-0.079;-1.017;0.276
151.210;-0.081;-1.015;0.279
151.220;-0.079;-1.013;0.275
151.230;-0.084;-1.013;0.274
151.240;-0.081;-1.016;0.280
151.250;-0.075;-1.019;0.283
151.260;-0.078;-1.019;0.282
151.270;-0.080;-1.019;0.281
151.280;-0.077;-1.016;0.276
151.290;-0.080;-1.012;0.278
151.300;-0.079;-1.008;0.279
151.310;-0.076;-1.009;0.277
151.320;-0.075;-1.014;0.279
151.330;-0.079;-1.023;0.282
151.340;-0.081;-1.023;0.284
151.350;-0.084;-1.016;0.284
151.360;-0.083;-1.008;0.286
151.370;-0.082;-1.007;0.283
151.380;-0.085;-1.009;0.283
151.390;-0.093;-1.006;0.279
151.400;-0.091;-1.006;0.279
151.410;-0.085;-1.007;0.284
151.420;-0.082;-1.013;0.284
151.430;-0.081;-1.016;0.282
151.440;-0.085;-1.017;0.287
151.450;-0.082;-1.020;0.291
151.460;-0.081;-1.021;0.290
151.470;-0.085;-1.020;0.283
151.480;-0.088;-1.014;0.282
151.490;-0.085;-1.013;0.282
151.500;-0.084;-1.017;0.279
151.510;-0.088;-1.014;0.280
151.520;-0.088;-1.012;0.284
151.530;-0.081;-1.008;0.286
151.540;-0.081;-1.010;0.279
151.550;-0.089;-1.014;0.279
151.560;-0.090;-1.016;0.288
151.570;-0.091;-1.015;0.287
151.580;-0.095;-1.009;0.279
151.590;-0.099;-1.006;0.278
151.600;-0.095;-1.007;0.282
151.610;-0.090;-1.011;0.286
151.620;-0.083;-1.012;0.283
151.630;-0.084;-1.014;0.282
151.640;-0.087;-1.010;0.279
151.650;-0.088;-1.004;0.281
151.660;-0.084;-1.006;0.286
151.670;-0.080;-1.012;0.284
151.680;-0.085;-1.016;0.280
151.690;-0.092;-1.019;0.277
151.700;-0.090;-1.011;0.277
151.710;-0.084;-1.010;0.280
151.720;-0.080;-1.009;0.278
151.730;-0.085;-1.008;0.281
151.740;-0.093;-1.005;0.279
151.750;-0.087;-1.006;0.280
151.760;-0.082;-1.010;0.280
151.770;-0.082;-1.012;0.278
151.780;-0.080;-1.012;0.278
151.790;-0.080;-1.008;0.273
151.800;-0.083;-1.004;0.275
151.810;-0.081;-1.004;0.280
151.820;-0.071;-1.007;0.284
151.830;-0.071;-1.007;0.281
151.840;-0.080;-1.006;0.279
151.850;-0.085;-1.008;0.272
151.860;-0.083;-1.005;0.274
151.870;-0.082;-1.007;0.271
151.880;-0.080;-1.013;0.269
151.890;-0.080;-1.015;0.271
151.900;-0.075;-1.019;0.275
151.910;-0.077;-1.020;0.282
151.920;-0.076;-1.018;0.284
151.930;-0.081;-1.012;0.283
151.940;-0.087;-1.000;0.278
151.950;-0.088;-0.995;0.279
151.960;-0.085;-0.999;0.279
151.970;-0.083;-1.001;0.280
151.980;-0.083;-1.010;0.283
151.990;-0.085;-1.018;0.289
152.000;-0.091;-1.020;0.293
152.010;-0.093;-1.025;0.294
152.020;-0.094;-1.024;0.290
152.030;-0.092;-1.023;0.288
152.040;-0.092;-1.017;0.281
152.050;-0.091;-1.013;0.283
152.060;-0.090;-1.012;0.287
152.070;-0.086;-1.011;0.292
152.080;-0.087;-1.015;0.292
152.090;-0.088;-1.016;0.292
152.100;-0.087;-1.013;0.289
152.110;-0.086;-1.011;0.289
152.120;-0.088;-1.012;0.288
152.130;-0.090;-1.014;0.282
152.140;-0.091;-1.011;0.282
152.150;-0.086;-1.008;0.287
152.160;-0.085;-1.008;0.286
152.170;-0.089;-1.012;0.282
152.180;-0.091;-1.015;0.281
152.190;-0.087;-1.015;0.279
152.200;-0.084;-1.014;0.281
152.210;-0.082;-1.015;0.274
152.220;-0.084;-1.013;0.278
152.230;-0.077;-1.016;0.289
152.240;-0.072;-1.015;0.292
152.250;-0.076;-1.011;0.289
152.260;-0.081;-1.011;0.283
152.270;-0.085;-1.008;0.281
152.280;-0.087;-1.004;0.284
152.290;-0.086;-1.005;0.281
152.300;-0.089;-1.008;0.283
152.310;-0.086;-1.015;0.287
152.320;-0.080;-1.014;0.286
152.330;-0.083;-1.013;0.287
152.340;-0.079;-1.014;0.288
152.350;-0.075;-1.015;0.285
152.360;-0.072;-1.014;0.284
152.370;-0.076;-1.015;0.280
152.380;-0.077;-1.012;0.283
152.390;-0.072;-1.012;0.287
152.400;-0.070;-1.012;0.287
152.410;-0.083;-1.014;0.286
152.420;-0.091;-1.014;0.285
152.430;-0.091;-1.010;0.280
152.440;-0.088;-1.009;0.280
152.450;-0.085;-1.012;0.279
152.460;-0.085;-1.016;0.281
152.470;-0.082;-1.022;0.286
152.480;-0.077;-1.024;0.288
152.490;-0.080;-1.013;0.289
152.500;-0.083;-1.001;0.289
152.510;-0.087;-1.000;0.291
152.520;-0.090;-1.006;0.289
152.530;-0.096;-1.015;0.288
152.540;-0.097;-1.015;0.283
152.550;-0.096;-1.011;0.279
152.560;-0.091;-1.011;0.288
152.570;-0.087;-1.006;0.293
152.580;-0.084;-1.009;0.295
152.590;-0.083;-1.005;0.297
152.600;-0.084;-1.003;0.301
152.610;-0.094;-1.008;0.300
152.620;-0.103;-1.007;0.295
152.630;-0.098;-1.004;0.290
152.640;-0.091;-0.995;0.286
152.650;-0.080;-0.991;0.289
152.660;-0.064;-1.001;0.293
152.670;-0.049;-1.011;0.290
152.680;-0.045;-1.015;0.298
152.690;-0.061;-1.007;0.289
152.700;-0.085;-1.010;0.289
152.710;-0.101;-1.014;0.298
152.720;-0.098;-1.012;0.306
152.730;-0.086;-1.018;0.300
152.740;-0.081;-1.022;0.302
152.750;-0.081;-1.028;0.306
152.760;-0.084;-1.020;0.304
152.770;-0.082;-1.009;0.303
152.780;-0.080;-1.009;0.302
152.790;-0.085;-1.008;0.298
152.800;-0.083;-1.012;0.306
152.810;-0.083;-1.017;0.305
152.820;-0.086;-1.008;0.296
152.830;-0.078;-1.004;0.290
152.840;-0.077;-1.003;0.286
152.850;-0.085;-1.001;0.279
