elapsed (s);x-axis (g);y-axis (g);z-axis (g)
1.760;-0.025;-0.074;1.021
1.770;-0.026;-0.076;1.024
1.780;-0.026;-0.073;1.021
1.790;-0.027;-0.071;1.021
1.800;-0.025;-0.077;1.022
1.810;-0.023;-0.077;1.020
1.820;-0.022;-0.077;1.019
1.830;-0.023;-0.075;1.019
1.840;-0.023;-0.075;1.022
1.850;-0.021;-0.078;1.022
1.860;-0.022;-0.075;1.021
1.870;-0.021;-0.075;1.025
1.880;-0.023;-0.075;1.027
1.890;-0.021;-0.074;1.026
1.900;-0.020;-0.076;1.026
1.910;-0.019;-0.074;1.023
1.920;-0.021;-0.074;1.021
1.930;-0.021;-0.075;1.021
1.940;-0.019;-0.074;1.023
1.950;-0.024;-0.074;1.017
1.960;-0.022;-0.074;1.013
1.970;-0.022;-0.076;1.016
1.980;-0.023;-0.076;1.014
1.990;-0.026;-0.076;1.017
2.000;-0.023;-0.076;1.015
2.010;-0.023;-0.073;1.017
2.020;-0.025;-0.073;1.019
2.030;-0.021;-0.072;1.019
2.040;-0.021;-0.070;1.022
2.050;-0.020;-0.067;1.026
2.060;-0.020;-0.068;1.022
2.070;-0.024;-0.069;1.017
2.080;-0.024;-0.069;1.013
2.090;-0.024;-0.069;1.013
2.100;-0.028;-0.070;1.010
2.110;-0.031;-0.073;1.003
2.120;-0.032;-0.072;1.003
2.130;-0.030;-0.071;1.006
2.140;-0.034;-0.075;1.004
2.150;-0.035;-0.075;1.007
2.160;-0.036;-0.073;1.007
2.170;-0.039;-0.073;1.013
2.180;-0.039;-0.072;1.016
2.190;-0.038;-0.074;1.016
2.200;-0.039;-0.070;1.023
2.210;-0.036;-0.067;1.025
2.220;-0.031;-0.065;1.028
2.230;-0.031;-0.069;1.028
2.240;-0.028;-0.065;1.031
2.250;-0.029;-0.059;1.034
2.260;-0.030;-0.058;1.038
2.270;-0.032;-0.060;1.033
2.280;-0.031;-0.062;1.024
2.290;-0.033;-0.063;1.019
2.300;-0.035;-0.065;1.023
2.310;-0.032;-0.065;1.019
2.320;-0.033;-0.064;1.018
2.330;-0.030;-0.066;1.014
2.340;-0.027;-0.069;1.013
2.350;-0.027;-0.072;1.012
2.360;-0.029;-0.075;1.009
2.370;-0.029;-0.074;1.008
2.380;-0.030;-0.074;1.009
2.390;-0.031;-0.073;1.008
2.400;-0.027;-0.070;1.013
2.410;-0.023;-0.070;1.017
2.420;-0.020;-0.074;1.021
2.430;-0.023;-0.068;1.026
2.440;-0.023;-0.063;1.030
